record_version,record_number,record_timestamp,sample_index,ax,ay,az,gx,gy,gz,aux_flags,record_timestamp_iso,record_delta_ms
2,16,1761745648662,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,1,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,3,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,5,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,7,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,8,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.662000+00:00,166
2,16,1761745648662,9,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.662000+00:00,166
2,17,1761745648829,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,1,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,2,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,5,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,7,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,8,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.829000+00:00,167
2,17,1761745648829,9,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.829000+00:00,167
2,18,1761745648996,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,1,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,3,862,213,463,-140,-140,630,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,4,862,213,463,-210,-210,630,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,5,862,213,462,-140,-140,630,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,7,862,213,462,-140,-140,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:28.996000+00:00,167
2,18,1761745648996,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:28.996000+00:00,167
2,19,1761745649162,0,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,1,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,4,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,5,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,19,1761745649162,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.162000+00:00,166
2,20,1761745649329,0,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,1,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,2,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,3,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,4,862,213,462,-140,-140,630,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,5,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,6,862,213,462,-210,-210,630,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.329000+00:00,167
2,20,1761745649329,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.329000+00:00,167
2,21,1761745649496,0,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,4,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,5,862,213,462,-210,-210,630,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,6,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,7,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.496000+00:00,167
2,21,1761745649496,9,862,213,462,-140,-140,630,31,2025-10-29T13:47:29.496000+00:00,167
2,22,1761745649662,0,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,2,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,4,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,6,862,213,462,-210,-210,630,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,7,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,8,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.662000+00:00,166
2,22,1761745649662,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.662000+00:00,166
2,23,1761745649829,0,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,3,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,4,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,6,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,8,862,213,462,-210,-210,630,31,2025-10-29T13:47:29.829000+00:00,167
2,23,1761745649829,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.829000+00:00,167
2,24,1761745649996,0,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,4,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,6,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,8,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.996000+00:00,167
2,24,1761745649996,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:29.996000+00:00,167
2,25,1761745650162,0,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,3,862,213,462,-210,-210,630,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,4,862,213,462,-210,-210,630,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,5,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.162000+00:00,166
2,25,1761745650162,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.162000+00:00,166
2,26,1761745650329,0,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,1,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,3,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,4,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,6,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,7,862,213,462,-210,-210,630,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,26,1761745650329,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.329000+00:00,167
2,27,1761745650496,0,862,213,462,-210,-210,630,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,1,862,213,462,-210,-210,630,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,4,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,6,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,8,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.496000+00:00,167
2,27,1761745650496,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.496000+00:00,167
2,28,1761745650662,0,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,2,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,4,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,6,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,8,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.662000+00:00,166
2,28,1761745650662,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.662000+00:00,166
2,29,1761745650829,0,862,213,462,-140,-140,630,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,4,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,5,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,7,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,8,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.829000+00:00,167
2,29,1761745650829,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.829000+00:00,167
2,30,1761745650996,0,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,1,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,2,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,3,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,4,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,5,862,213,462,-140,-140,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,6,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,7,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:30.996000+00:00,167
2,30,1761745650996,9,862,213,462,-210,-210,630,31,2025-10-29T13:47:30.996000+00:00,167
2,31,1761745651162,0,862,213,462,-210,-210,630,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,1,862,213,462,-140,-140,630,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,2,862,213,462,-140,-140,560,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,3,862,213,462,-210,-210,560,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,4,862,213,462,-210,-210,560,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,6,862,213,462,-140,-140,560,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,7,862,213,462,-210,-210,630,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,8,862,213,462,-210,-210,630,31,2025-10-29T13:47:31.162000+00:00,166
2,31,1761745651162,9,862,213,462,-210,-210,560,31,2025-10-29T13:47:31.162000+00:00,166
